exchange,date,symbol,isin,open,high,low,close,volume,series,last,prevclose,tottrdval,timestamp,totaltrades,sc_group,no_trades,net_turnov,tdcloindi
bse,2018-07-30,LLOYDSTEEL,539992,0.96,0.99,0.93,0.98,1041563,EQ,0.99,0.95,NA,NA,NA,B,266,1006171,NA
bse,2018-07-30,KPL,539997,46,46.1,46,46.1,9000,EQ,46.1,46.15,NA,NA,NA,M,3,414450,NA
bse,2018-07-30,LTI,540005,1832,1845.95,1812,1818.85,7513,EQ,1818.85,1833.55,NA,NA,NA,A,794,13719749,NA
bse,2018-07-30,BULL,540006,177.55,177.55,170.25,175,1623,EQ,175,174.55,NA,NA,NA,XT,28,282036,NA
bse,2018-07-30,MIENT,540023,10.81,10.81,10.81,10.81,11,EQ,10.81,11.03,NA,NA,NA,XT,2,118,NA
bse,2018-07-30,ASHARI,540024,19.65,19.65,19.65,19.65,570,EQ,19.65,20.05,NA,NA,NA,X,12,11200,NA
bse,2018-07-30,ADVENZYMES,540025,208.35,211.6,207.35,209.9,9487,EQ,210.05,208.15,NA,NA,NA,A,254,1986526,NA
bse,2018-07-30,PTIL,540027,210,214.9,208,211.9,40800,EQ,212.5,222.45,NA,NA,NA,M,38,8613240,NA
bse,2018-07-30,DBL,540047,777,797.55,751,766.9,59348,EQ,770,765.7,NA,NA,NA,A,2675,46020362,NA
bse,2018-07-30,SPAL,540048,331.5,332.3,325,327.1,109,EQ,325,331.95,NA,NA,NA,B,9,35932,NA
bse,2018-07-30,BIGBLOC,540061,89,90,88,88.1,1352,EQ,88,88,NA,NA,NA,B,27,120423,NA
bse,2018-07-30,ECS,540063,3.25,3.25,3.19,3.2,6053,EQ,3.19,3.25,NA,NA,NA,X,19,19399,NA
bse,2018-07-30,FRETAIL,540064,526.3,534.75,524,525.6,19809,EQ,526,521.25,NA,NA,NA,A,739,10479075,NA
bse,2018-07-30,RBLBANK,540065,570,570,559.95,563.05,64695,EQ,563.7,570,NA,NA,NA,A,1309,36462844,NA
bse,2018-07-30,CAMSONSEEDS,540071,11.31,12,11.31,11.53,6695,EQ,11.53,11.9,NA,NA,NA,XT,29,78448,NA
bse,2018-07-30,SHIVAEXPO,540072,8.59,8.59,8.59,8.59,10000,EQ,8.59,8.19,NA,NA,NA,M,1,85900,NA
bse,2018-07-30,BLS,540073,171.8,176,170.05,174.95,15739,EQ,174.95,169.5,NA,NA,NA,B,274,2727930,NA
bse,2018-07-30,TVVISION,540083,4.57,4.57,4.22,4.57,18965,EQ,4.57,4.36,NA,NA,NA,B,17,86051,NA
bse,2018-07-30,SPICY,540084,11.15,11.8,11.13,11.75,310000,EQ,11.75,11.28,NA,NA,NA,M,23,3490900,NA
bse,2018-07-30,TAHL,540108,51.2,52.1,50.15,52,56424,EQ,52.1,51.1,NA,NA,NA,XT,145,2880423,NA
bse,2018-07-30,LTTS,540115,1535,1552.45,1495,1502.5,5821,EQ,1502.5,1534.45,NA,NA,NA,A,685,8854759,NA
bse,2018-07-30,GNA,540124,425.95,429.95,421,422.75,1221,EQ,422.75,419.15,NA,NA,NA,B,67,518640,NA
bse,2018-07-30,RADHIKAJWE,540125,21.4,21.45,21.4,21.45,4800,EQ,21.45,20.1,NA,NA,NA,M,3,102880,NA
bse,2018-07-30,ICICIPRULI,540133,408.95,422.55,408.95,420.2,73319,EQ,420,410.8,NA,NA,NA,B,1713,30746932,NA
